#Abstract,Abstract Title,Date,Time,Location,URL,Authors,Author's Affiliations,Abstract Text,Category,Sub-Category,Session Title
P2-265,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28489,"Junliang Yuan Sr., MD",", McLean Hospital, Harvard Medical School,, Boston, MA, USA; Beijing Chaoyang Hospital, Capital Medical Univerisity, Beijing, China",The Clinical Characteristics of Cognitive Impairment in Patients with Small Vessel Disease,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-266,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31198,"Pai-Yi Chiu, MD, PhD",", Show Chwan Memorial Hospital, Changhua, Taiwan and Cheng-Yu Wei, MD, MS, Chang Bing Show Chwan Memorial Hospital, Changhwa, Taiwan",A History-Based Computerized Questionnaire for the Diagnosis of Severity and Subtypes of Dementia: Design and Verify,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-267,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31540,"Carole Azuar, MD","<sup>1,3</sup>",Moral Emotions in Frontotemporal Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-268,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33318,"Yeonwook Kang, Ph.D.","<sup>2,4</sup>",Validity of the Everyday Cognition (ECog) As a Screening Measure of Subjective Cognitive Decline (SCD),Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-269,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=34059,"Jennifer R Gatchel, MD, PhD","<sup>1,2,3</sup>",Geriatric Depression Scale Item-Level Analysis in Relation to In Vivo Cortical Amyloid and Cerebral Regional Tau in Clinically Normal Older Adults: Findings from the Harvard Aging Brain Study,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-270,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30578,"Soichiro Shimizu, MD., PhD","; Naoto Takenoshita, MD; Kentaro Hirao, MD., PhD; Hidekazu Kanetaka, MD., PhD; Yoshitsugu Kaneko, MD; Yusuke Ogawa, MD; Hirofumi Sakurai, MD., PhD and Haruo Hanyu, MD., PhD, Tokyo Medical University, Tokyo, Japan",Protective Role of Orexinergic System Overexpression on Cognitive Function in Alzheimer Disease Patients,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-271,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=34245,"Megan Mariani, BS, BA",<sup>1</sup>,"The Effect of African American Race on Neurobehavioral Outcomes, Structural MRI Indices, and Cerebrospinal Fluid Concentrations of Tau and Aβ in Former National Football League Players",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-272,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=27848,"Yat Fung Shea, FRCP","; Ming Yee Maggie Mok, MBBS; Mi Suen Connie Lee; Hon Wai Felix Chan, FHKAM and Tak-Mao Chan, MD, Queen Mary Hospital, Hong Kong, Hong Kong",Prevalence of Cognitive Impairment Among Peritoneal Dialysis Patients: A Systematic Review and Meta-Analysis,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-273,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28120,"Jose Angel Soria Lopez, MD",", University of California San Diego, San Diego, CA, USA",Clinical-Neuropathological Correlations of Alzheimer’s Disease and Related Dementias in Latino Volunteers,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-274,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28122,Dong Wook KIM,", Konkuk University Hospital, Seoul, Korea, Republic of (South) and Yeonsil Moon, SAGAJUNGRO 190, Woosung APT 12-1005, Seoul, Korea, Republic of (South); Konkuk University Medical Center, Seoul, Korea, Republic of (South)","Muscle Profile and Progression of Alzheimer’S Dementia: Predictors of Poor Clinical Outcome and Role of Muscle Profile, a 3-Years Longitudinal Study",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
